beneficiary,percent,preferUnstaked,lockedUntil,projectId,allocator
0xAF28bcB48C40dBC86f52D459A6562F658fc94B1e,0.0585,false,0,5,0x0000000000000000000000000000000000000000
0x30670D81E487c80b9EDc54370e6EaF943B6EAB39,0.0468,false,0,0,0x0000000000000000000000000000000000000000
0x6860f1A0cF179eD93ABd3739c7f6c8961A4EEa3c,0.1082,false,0,0,0x0000000000000000000000000000000000000000
0x6212ce06Dcac01706e6Be5310C3228ede1A02ADf,0.0117,false,0,0,0x0000000000000000000000000000000000000000
0xAF28bcB48C40dBC86f52D459A6562F658fc94B1e,0.0386,false,0,33,0x0000000000000000000000000000000000000000
0xAF28bcB48C40dBC86f52D459A6562F658fc94B1e,0.351,false,0,329,0x0000000000000000000000000000000000000000
0x5bd9c90827ac6391E91A60c5dE8b63dcaA48b7aa,0.0292,false,0,0,0x0000000000000000000000000000000000000000
0xca6Ed3Fdc8162304d7f1fCFC9cA3A81632d5E5B0,0.0263,false,0,0,0x0000000000000000000000000000000000000000
0x34724D71cE674FcD4d06e60Dd1BaA88c14D36b75,0.0117,false,0,0,0x0000000000000000000000000000000000000000
0x25910143C255828F623786f46fe9A8941B7983bB,0.028,false,0,0,0x0000000000000000000000000000000000000000
0x5d95baEBB8412AD827287240A5c281E3bB30d27E,0.0936,false,0,0,0x0000000000000000000000000000000000000000
0xA8488938161c9Afa127E93Fef6d3447051588664,0.0175,false,0,0,0x0000000000000000000000000000000000000000
0x2DdA8dc2f67f1eB94b250CaEFAc9De16f70c5A51,0.0234,false,0,0,0x0000000000000000000000000000000000000000
0x5706d5aD7A68bf8692bD341234bE44ca7Bf2f654,0.0087,false,0,0,0x0000000000000000000000000000000000000000
0xb045708e396E20071324C1aed2E4CFB90A0764FE,0.0468,false,0,0,0x0000000000000000000000000000000000000000
0x428f196c4D754A96642854AC5d9f29a0e6eC707E,0.0468,false,0,0,0x0000000000000000000000000000000000000000
0xFda746F4C3f9F5A02b3E63ed6d0eBBc002d1f788,0.0087,false,0,0,0x0000000000000000000000000000000000000000
0x68dFb9b374B0a1CE996770DDf32916a530b4785f,0.0087,false,0,0,0x0000000000000000000000000000000000000000
0xF8284136B169213E4c50cE09f3E1D9A9b484BAea,0.0351,false,0,0,0x0000000000000000000000000000000000000000
