Name,Status,Funding Cycle,Category,Date,Discussion Thread,Focus Area,IPFS,Juicebox Proposal ID,Snapshot,Temperature Check,Author
Renew tankbottom’s recurring payout,Voting,https://www.notion.so/FC-27-cc27c26909ce4f608aa73b20c8e41c00,Recurring Payment,"July 15, 2022",https://discord.com/channels/775859454780244028/873248745771372584/997647977273376808,,https://gateway.pinata.cloud/ipfs/QmeuqV1ojgsvWYBX1hvLthjdzuNiPkLbihi7MBabp2X8pJ,JBP-227,"
      https://snapshot.org/#/jbdao.eth/proposal/0xed90329c4a99a238f9d3582bac701cb93bc24a4ed9d235bf80a3814ea9c43dc4
    ",,https://www.notion.so/138034b9f17c499ea134bcf2d7c6198a
Felixander renew recurring payout,Voting,https://www.notion.so/FC-27-cc27c26909ce4f608aa73b20c8e41c00,Recurring Payment,"July 15, 2022",https://discord.com/channels/775859454780244028/873248745771372584/997619468375175379,https://www.notion.so/Visibility-materials-6580395b4ab74ae2b3e7ee23f38facc0,https://gateway.pinata.cloud/ipfs/QmeaxP3T2UdQ4jZoNZGWDQDnePAmN2cqf5mtVpfNBSvbyv,JBP-228,"
      https://snapshot.org/#/jbdao.eth/proposal/0x1be916406082362f8e5b407d453c4986ab1b926a41aa05d7808d6bbe4175770b
    ",,"https://www.notion.so/Felixander-c439a10a7e014cde8f1acf89cdc4ed5a, https://www.notion.so/138034b9f17c499ea134bcf2d7c6198a"
Create Recurring Payout for Matthew and Brileigh,Voting,https://www.notion.so/FC-27-cc27c26909ce4f608aa73b20c8e41c00,Recurring Payment,"July 15, 2022",https://discord.com/channels/775859454780244028/873248745771372584/997582471388471407,"https://www.notion.so/Visibility-materials-6580395b4ab74ae2b3e7ee23f38facc0, https://www.notion.so/Community-alignment-ea2fbab460c34a628a7c06da089392c2, https://www.notion.so/Juicebox-ecosystem-69ed3577704048d08f9fb1778917b3ee",https://gateway.pinata.cloud/ipfs/Qmc1p6S2g5368da54ECXibwZTFiMRncVBNz4CNWWuJSfJp,JBP-229,"
      https://snapshot.org/#/jbdao.eth/proposal/0xe558d166bb91b3ca0bb20f8ae03c6b317bd99b382a288c79e5f1dccee1fcebfc
    ",,"https://www.notion.so/matthewbrooks-eth-f2e36c73f12a4fddaceb4bcb35c6c9ff, https://www.notion.so/brileigh-eth-082e9b5acc1c457d9f379f8815505e1c"
Jango recurring payout,Voting,https://www.notion.so/FC-27-cc27c26909ce4f608aa73b20c8e41c00,Recurring Payment,"July 15, 2022",https://discord.com/channels/775859454780244028/873248745771372584/997578518500225164,,https://gateway.pinata.cloud/ipfs/QmUg2kTV7iHGXiDfmBc3YdfvyYj7Xbx59WBw7TL4qaFzAa,JBP-230,"
      https://snapshot.org/#/jbdao.eth/proposal/0xbefa554f0d894f537d9ab900d0435b630526866304580bdbea8960f8588642f2
    ",,https://www.notion.so/Jango-3d619a88d22048128b2be209c4fcbcb9
"Set `allowSetController` flag to true, and give multisig discretionary permission to execute a controller migration.",Voting,https://www.notion.so/FC-27-cc27c26909ce4f608aa73b20c8e41c00,"Funding Cycle Reconfiguration, Protocol Upgrades","July 15, 2022",https://discord.com/channels/775859454780244028/873248745771372584/997582472386728016,,https://gateway.pinata.cloud/ipfs/QmcAMqjkVutm1Upph5QriabUENb6FCTThStPXTe9o2NBJx,JBP-231,"
      https://snapshot.org/#/jbdao.eth/proposal/0xf2a914b29442af8f06be4415f7225c192ed3b1840fe1542ffb61e67776ebed42
    ",,https://www.notion.so/Jango-3d619a88d22048128b2be209c4fcbcb9
Renew Recurring Payment Proposal for Viraz,Voting,https://www.notion.so/FC-27-cc27c26909ce4f608aa73b20c8e41c00,Recurring Payment,"July 15, 2022",https://discord.com/channels/775859454780244028/873248745771372584/997583978057973790,https://www.notion.so/Protocol-05aad2d42ef244e78c014c6d2f8a13f2,https://gateway.pinata.cloud/ipfs/QmNekgf3fEs6Tz6THkRKKZ8zQdtkeBamCsZ5TGwexkAKnh,JBP-232,"
      https://snapshot.org/#/jbdao.eth/proposal/0xc84ceab4e4dec85e6f6787b8ee05ca9f6b04dfb73715bc4a47c1dbbe7d5ed703
    ",,https://www.notion.so/Viraz-8a98a813fe8f4f80afaf790bfa808608
Set handle of Juicebox V2 project to “@juicebox”,Voting,https://www.notion.so/FC-27-cc27c26909ce4f608aa73b20c8e41c00,One-Time Payout,"July 12, 2022",https://discord.com/channels/775859454780244028/873248745771372584/996503828964843520,https://www.notion.so/Visibility-materials-6580395b4ab74ae2b3e7ee23f38facc0,https://gateway.pinata.cloud/ipfs/QmS2Nr2716SNxrbj831b7PrvaYrJQbntkijWY95JkNcVtz,JBP-233,"
      https://snapshot.org/#/jbdao.eth/proposal/0x358f32a869a7d49ae598eb20372e019ffbb0e821381611fd2f70081e0e7a7657
    ",,https://www.notion.so/Peri-7732a7fcfd8e4eb688bae68941db07f0
Extend registration of jbx.eth and jbox.eth,Voting,https://www.notion.so/FC-27-cc27c26909ce4f608aa73b20c8e41c00,One-Time Payout,"July 6, 2022",https://discord.com/channels/775859454780244028/873248745771372584/995117709371125881,https://www.notion.so/Treasury-Management-e84a88f77d1c4a0cad4c2347f287c9ba,https://gateway.pinata.cloud/ipfs/QmcYtqpa3nh3qFvXHKGo1tb7y7n4BwBjN7KLmzm2ouFNro,JBP-234,"
      https://snapshot.org/#/jbdao.eth/proposal/0xb94aa52a466bb69ec9af4998e4f86ed63bc34eb2611ac2b0724c4bec86302bb9
    ",,https://www.notion.so/Peri-7732a7fcfd8e4eb688bae68941db07f0
Amend JBP-227 to end Tankbottoms.eth payout on FC-30,Discussion,https://www.notion.so/FC-30-f0d7d6b20e7241738b04705c7f81f7a2,Recurring Payment,"July 18, 2022",https://discord.com/channels/775859454780244028/997647977273376808/998730274626080849,https://www.notion.so/Mechanism-ba292bfad9db42bd924b33b77f431193,,JBP,,,https://www.notion.so/tankbottoms-eth-eea59e9e43054f5493fa074939d52306
Add Nicholas to the reserved list,Discussion,https://www.notion.so/FC-28-d0f2d94f800945b69ee546256f92ce6c,Reserved JBX Allocation,"July 19, 2022",,https://www.notion.so/JBX-Token-e25969fac46f40bbb12a4614a966b1c3,,,,,https://www.notion.so/Nicholas-018dfa4125c04ad5962ae941a0d11cf1
